datetime,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,RSI_AAPL,MA100_AAPL,MA200_AAPL,BBL_AAPL,BBM_AAPL,BBU_AAPL,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,RSI_GOOGL,OBV_GOOGL,MACD_GOOGL,MACD_signal_GOOGL,MACD_hist_GOOGL,TARGET_close_AAPL
2018-06-25,45.85,46.23,45.1825,45.5425,126652400.0,36.413825685701,44.29934994999999,43.00882499,45.71153034620321,47.3015,48.89146965379678,57.75,57.7995,55.995,56.964,57682000.0,51.71936122676652,8855307596.0,1.0351021890881853,1.1250484330581132,-0.0899462439699279,45.5425
2018-06-26,45.7475,46.6325,45.635,46.1075,98276800.0,43.628410456754736,44.34097495,43.041074990000006,45.58950740225788,47.258125,48.92674259774212,57.207,57.3435,56.45,56.631,34688000.0,49.48075231488046,8820619596.0,0.8642991426131275,1.072898574969116,-0.20859943235598855,46.1075
2018-06-27,46.3075,46.82,46.0074997,46.040001,101141200.0,43.00070230667363,44.40012496,43.069399995000005,45.471462239300024,47.216375049999996,48.96128786069997,56.8,57.3105,55.835,55.847,34538000.0,44.58752943681044,8786081596.0,0.6580882185359371,0.9899365036824803,-0.3318482851465432,46.040001
2018-06-28,46.025002,46.5525,45.95,46.375,69460800.0,47.07088466515834,44.47264996,43.100199995000004,45.42855674332747,47.199250049999996,48.96994335667252,55.6195,56.7,55.3035,56.339,29726000.0,48.058919430599296,8815807596.0,0.5282752356431359,0.8976042500746115,-0.3693290144314756,46.375
2018-06-29,46.5725,46.7975,45.7275,46.2775,90950800.0,46.04042853150864,44.527849960000005,43.132024995,45.32880192014618,47.13512505,48.94144817985382,56.6155,57.068001,56.351,56.4595,31562000.0,48.903218033618685,8847369596.0,0.4301622121727888,0.8041158424942471,-0.37395363032145823,46.2775
2018-07-02,45.955,46.825,45.855,46.795,70925200.0,52.04155357176868,44.59694995999999,43.168149995,45.30579535115943,47.07700005,48.84820474884057,55.7675,57.1495,55.33,57.1055,23216000.0,53.28703745174802,8870585596.0,0.39992366430088566,0.7232774068555748,-0.3233537425546892,46.795
2018-07-03,46.9475,46.9875,45.885,45.98,55819200.0,43.78303763494382,44.668874960000004,43.198199995,45.22469268254444,46.95962505,48.694557417455556,57.471,57.4955,55.7215,55.814,16448000.0,44.97872496544982,8854137596.0,0.2686493186542265,0.6323517892153052,-0.36370247056107874,45.98
2018-07-05,46.315,46.6025,46.07,46.35,66416800.0,47.83062464797056,44.74134996000001,43.231612495,45.25024104731952,46.85237505,48.45450905268048,56.23,57.207,56.156,57.064499,28594000.0,52.67309353874603,8882731596.0,0.26249242313443943,0.5583799159991321,-0.2958874928646926,46.35
2018-07-06,46.355,47.1075,46.3,46.9925,69940800.0,54.02134482764866,44.804499959999994,43.268162495000006,45.33657488696859,46.78375005,48.23092521303141,57.088501,57.81,56.862,57.754,21820000.0,56.30172501797824,8904551596.0,0.3096802067228097,0.5086399741438676,-0.19895976742105792,46.9925
2018-07-09,47.375,47.67,47.325,47.645,79026400.0,59.30310718793007,44.87009997,43.311299985,45.36213079817975,46.76975005,48.17736930182025,58.0,58.3965,57.8615,58.364,21584000.0,59.27653409023369,8926135596.0,0.3917825419362302,0.48526848770234016,-0.09348594576610997,47.645
